CMDLINE python ./caller.py
MEM 174.261719 1476695326.7130
MEM 175.550781 1476695326.8133
MEM 176.839844 1476695326.9135
MEM 178.128906 1476695327.0138
MEM 179.417969 1476695327.1141
MEM 180.707031 1476695327.2144
MEM 181.996094 1476695327.3147
MEM 183.285156 1476695327.4151
MEM 184.832031 1476695327.5155
MEM 186.121094 1476695327.6159
MEM 187.410156 1476695327.7162
MEM 188.699219 1476695327.8166
MEM 189.988281 1476695327.9169
MEM 191.277344 1476695328.0172
MEM 192.566406 1476695328.1176
MEM 193.855469 1476695328.2179
MEM 195.144531 1476695328.3182
MEM 196.433594 1476695328.4185
MEM 197.730469 1476695328.5188
MEM 199.003906 1476695328.6191
MEM 200.292969 1476695328.7194
MEM 201.582031 1476695328.8197
MEM 202.613281 1476695328.9200
MEM 203.902344 1476695329.0203
MEM 205.191406 1476695329.1206
MEM 205.964844 1476695329.2210
MEM 205.964844 1476695329.3213
MEM 205.964844 1476695329.4216
MEM 205.964844 1476695329.5219
MEM 205.964844 1476695329.6223
MEM 205.964844 1476695329.7226
MEM 205.964844 1476695329.8229
MEM 205.964844 1476695329.9233
MEM 205.964844 1476695330.0236
MEM 205.964844 1476695330.1240
MEM 205.964844 1476695330.2243
MEM 205.964844 1476695330.3246
MEM 206.222656 1476695330.4249
MEM 207.511719 1476695330.5251
MEM 208.800781 1476695330.6254
MEM 209.832031 1476695330.7257
MEM 211.121094 1476695330.8260
MEM 212.152344 1476695330.9263
MEM 213.441406 1476695331.0265
MEM 214.582031 1476695331.1268
MEM 215.613281 1476695331.2271
MEM 216.902344 1476695331.3273
MEM 217.933594 1476695331.4276
MEM 219.171875 1476695331.5279
MEM 220.203125 1476695331.6281
MEM 221.234375 1476695331.7284
MEM 222.484375 1476695331.8287
MEM 223.515625 1476695331.9291
MEM 224.804688 1476695332.0295
MEM 225.835938 1476695332.1299
MEM 227.074219 1476695332.2302
MEM 228.105469 1476695332.3306
MEM 229.394531 1476695332.4309
MEM 230.425781 1476695332.5312
MEM 231.671875 1476695332.6316
MEM 232.703125 1476695332.7320
MEM 233.992188 1476695332.8323
MEM 235.023438 1476695332.9326
MEM 236.054688 1476695333.0329
MEM 237.343750 1476695333.1332
MEM 238.375000 1476695333.2335
MEM 239.406250 1476695333.3339
MEM 240.437500 1476695333.4342
MEM 241.367188 1476695333.5345
MEM 242.656250 1476695333.6348
MEM 243.429688 1476695333.7351
MEM 244.460938 1476695333.8354
MEM 245.492188 1476695333.9357
MEM 246.523438 1476695334.0361
MEM 247.554688 1476695334.1363
MEM 248.585938 1476695334.2366
MEM 249.617188 1476695334.3369
MEM 250.816406 1476695334.4372
MEM 251.847656 1476695334.5375
MEM 252.878906 1476695334.6378
MEM 253.910156 1476695334.7381
MEM 254.683594 1476695334.8384
MEM 254.683594 1476695334.9387
MEM 254.683594 1476695335.0390
MEM 254.683594 1476695335.1393
MEM 254.683594 1476695335.2396
MEM 254.683594 1476695335.3399
MEM 254.683594 1476695335.4402
MEM 254.683594 1476695335.5405
MEM 254.683594 1476695335.6407
MEM 254.683594 1476695335.7410
MEM 254.683594 1476695335.8413
MEM 254.683594 1476695335.9416
MEM 254.683594 1476695336.0419
MEM 254.683594 1476695336.1422
MEM 254.683594 1476695336.2425
MEM 254.683594 1476695336.3428
MEM 255.714844 1476695336.4431
MEM 256.679688 1476695336.5434
MEM 257.710938 1476695336.6438
MEM 258.742188 1476695336.7442
MEM 259.773438 1476695336.8445
MEM 260.546875 1476695336.9449
MEM 261.578125 1476695337.0452
MEM 262.609375 1476695337.1455
MEM 263.640625 1476695337.2459
MEM 264.414062 1476695337.3462
MEM 265.398438 1476695337.4465
MEM 266.429688 1476695337.5468
MEM 267.460938 1476695337.6472
MEM 268.492188 1476695337.7475
MEM 269.265625 1476695337.8478
MEM 270.296875 1476695337.9481
MEM 271.070312 1476695338.0484
MEM 272.015625 1476695338.1487
MEM 273.046875 1476695338.2490
MEM 274.078125 1476695338.3493
MEM 274.851562 1476695338.4496
MEM 275.882812 1476695338.5499
MEM 276.914062 1476695338.6502
MEM 277.687500 1476695338.7505
MEM 278.718750 1476695338.8508
MEM 279.492188 1476695338.9512
MEM 280.523438 1476695339.0515
MEM 281.296875 1476695339.1518
MEM 282.328125 1476695339.2521
MEM 283.101562 1476695339.3524
MEM 284.132812 1476695339.4527
MEM 284.906250 1476695339.5530
MEM 285.937500 1476695339.6532
MEM 286.710938 1476695339.7535
MEM 287.484375 1476695339.8538
MEM 288.515625 1476695339.9540
MEM 289.289062 1476695340.0543
MEM 290.140625 1476695340.1546
MEM 291.167969 1476695340.2549
MEM 291.941406 1476695340.3552
MEM 292.695312 1476695340.4554
MEM 293.726562 1476695340.5557
MEM 294.500000 1476695340.6560
MEM 295.531250 1476695340.7563
MEM 296.304688 1476695340.8566
MEM 297.078125 1476695340.9569
MEM 298.109375 1476695341.0571
MEM 298.882812 1476695341.1575
MEM 299.656250 1476695341.2579
MEM 300.429688 1476695341.3583
MEM 301.460938 1476695341.4587
MEM 302.234375 1476695341.5590
MEM 303.007812 1476695341.6594
MEM 304.039062 1476695341.7597
MEM 304.812500 1476695341.8600
MEM 305.585938 1476695341.9603
MEM 306.480469 1476695342.0607
MEM 307.253906 1476695342.1610
MEM 308.011719 1476695342.2613
MEM 308.781250 1476695342.3616
MEM 309.812500 1476695342.4619
MEM 310.585938 1476695342.5622
MEM 311.359375 1476695342.6625
MEM 312.132812 1476695342.7628
MEM 312.906250 1476695342.8631
MEM 313.679688 1476695342.9634
MEM 314.652344 1476695343.0637
MEM 315.421875 1476695343.1641
MEM 315.675781 1476695343.2644
MEM 315.675781 1476695343.3647
MEM 315.675781 1476695343.4650
MEM 315.675781 1476695343.5653
MEM 315.675781 1476695343.6656
MEM 315.675781 1476695343.7660
MEM 315.675781 1476695343.8663
MEM 315.675781 1476695343.9666
MEM 315.675781 1476695344.0669
MEM 315.675781 1476695344.1672
MEM 315.675781 1476695344.2675
MEM 315.675781 1476695344.3677
MEM 315.675781 1476695344.4680
MEM 315.675781 1476695344.5683
MEM 315.675781 1476695344.6686
MEM 315.675781 1476695344.7689
MEM 315.675781 1476695344.8692
MEM 315.675781 1476695344.9695
MEM 315.675781 1476695345.0698
MEM 315.675781 1476695345.1701
MEM 316.187500 1476695345.2703
MEM 316.960938 1476695345.3706
MEM 317.734375 1476695345.4709
MEM 318.488281 1476695345.5712
MEM 319.261719 1476695345.6715
MEM 320.035156 1476695345.7719
MEM 320.808594 1476695345.8722
MEM 321.542969 1476695345.9726
MEM 322.316406 1476695346.0729
MEM 323.089844 1476695346.1734
MEM 323.839844 1476695346.2737
MEM 324.613281 1476695346.3740
MEM 325.386719 1476695346.4743
MEM 326.417969 1476695346.5747
MEM 327.191406 1476695346.6750
MEM 327.964844 1476695346.7753
MEM 328.738281 1476695346.8756
MEM 329.511719 1476695346.9759
MEM 330.222656 1476695347.0762
MEM 330.738281 1476695347.1765
MEM 331.511719 1476695347.2768
MEM 332.285156 1476695347.3771
MEM 333.058594 1476695347.4774
MEM 333.832031 1476695347.5777
MEM 334.605469 1476695347.6781
MEM 335.378906 1476695347.7783
MEM 336.152344 1476695347.8787
MEM 336.667969 1476695347.9790
MEM 337.441406 1476695348.0793
MEM 338.214844 1476695348.1796
MEM 338.906250 1476695348.2799
MEM 339.679688 1476695348.3802
MEM 340.453125 1476695348.4805
MEM 341.226562 1476695348.5808
MEM 342.000000 1476695348.6811
MEM 342.773438 1476695348.7813
MEM 343.546875 1476695348.8816
MEM 344.320312 1476695348.9819
MEM 344.835938 1476695349.0822
MEM 345.609375 1476695349.1825
MEM 346.382812 1476695349.2827
MEM 347.156250 1476695349.3830
MEM 347.929688 1476695349.4833
MEM 348.445312 1476695349.5835
MEM 349.218750 1476695349.6838
MEM 349.992188 1476695349.7841
MEM 350.765625 1476695349.8844
MEM 351.281250 1476695349.9847
MEM 352.054688 1476695350.0850
MEM 352.828125 1476695350.1853
MEM 353.601562 1476695350.2856
MEM 354.117188 1476695350.3860
MEM 355.085938 1476695350.4864
MEM 355.085938 1476695350.5868
MEM 355.085938 1476695350.6872
MEM 355.085938 1476695350.7875
MEM 355.085938 1476695350.8878
MEM 355.085938 1476695350.9882
MEM 355.085938 1476695351.0886
MEM 355.085938 1476695351.1889
MEM 355.085938 1476695351.2893
MEM 355.085938 1476695351.3897
MEM 355.085938 1476695351.4900
MEM 355.085938 1476695351.5903
MEM 355.085938 1476695351.6906
MEM 355.085938 1476695351.7910
MEM 355.085938 1476695351.8913
MEM 355.085938 1476695351.9916
MEM 355.085938 1476695352.0919
MEM 355.085938 1476695352.1922
MEM 355.085938 1476695352.2925
MEM 355.085938 1476695352.3928
MEM 355.085938 1476695352.4931
MEM 355.085938 1476695352.5934
MEM 355.085938 1476695352.6938
MEM 355.085938 1476695352.7941
MEM 355.085938 1476695352.8945
MEM 355.085938 1476695352.9948
MEM 355.085938 1476695353.0951
MEM 355.085938 1476695353.1953
MEM 355.085938 1476695353.2956
MEM 355.085938 1476695353.3959
MEM 355.085938 1476695353.4962
MEM 355.085938 1476695353.5965
MEM 355.085938 1476695353.6968
MEM 355.085938 1476695353.7970
MEM 355.085938 1476695353.8973
MEM 355.085938 1476695353.9976
MEM 355.085938 1476695354.0979
MEM 355.085938 1476695354.1982
MEM 355.085938 1476695354.2985
MEM 355.085938 1476695354.3987
MEM 355.085938 1476695354.4990
MEM 355.085938 1476695354.5993
MEM 355.085938 1476695354.6996
MEM 355.085938 1476695354.8000
MEM 355.085938 1476695354.9005
MEM 355.085938 1476695355.0009
MEM 355.085938 1476695355.1012
MEM 355.085938 1476695355.2016
MEM 355.085938 1476695355.3019
MEM 355.085938 1476695355.4023
MEM 355.085938 1476695355.5027
MEM 355.085938 1476695355.6030
MEM 355.085938 1476695355.7034
MEM 355.085938 1476695355.8037
MEM 355.085938 1476695355.9041
MEM 355.085938 1476695356.0044
MEM 355.085938 1476695356.1047
MEM 355.085938 1476695356.2051
MEM 355.085938 1476695356.3054
MEM 355.085938 1476695356.4058
MEM 355.085938 1476695356.5061
MEM 0.000000 1476695356.6064
